ResultID,Date,ProductID,CustomerID,Quantity,Revenue
133,1/15/2024,126,22,10,2000
134,1/15/2024,127,23,6,900
135,1/15/2024,128,24,12,1800
136,1/15/2024,128,25,15,4500
137,1/15/2024,124,24,12,1800
138,1/15/2024,125,25,15,4500
139,1/15/2024,126,22,10,2000
140,1/15/2024,127,23,6,900
141,1/15/2024,128,24,12,1800
142,1/15/2024,128,25,15,4500
143,1/15/2024,124,24,12,1800
144,1/15/2024,125,25,15,4500
145,1/15/2024,126,22,10,2000
146,1/15/2024,127,23,6,900
147,1/15/2024,128,24,12,1800
148,1/15/2024,128,25,15,4500
149,1/15/2024,124,24,12,1800
150,1/15/2024,125,25,15,4500
151,1/15/2024,126,22,10,2000
152,1/15/2024,127,23,6,900
153,1/15/2024,128,24,12,1800
154,1/15/2024,128,25,15,4500
155,1/15/2024,124,24,12,1800
156,1/15/2024,125,25,15,4500
157,1/15/2024,126,22,10,2000
158,1/15/2024,127,23,6,900
159,1/15/2024,128,24,12,1800
160,1/15/2024,128,25,15,4500
